class,phase,best_set,set,n_paired,dice_mean_set,dice_mean_best,wilcoxon_stat,p_value
lesion,preop,REAL_FLAIR,GAN-swinpix2pix-2D-FLAIR,12,0.41954707600642677,0.5754314212855025,15.0,0.06396484375
lesion,preop,REAL_FLAIR,GAN-swinpix2pix-3D-FLAIR,12,0.2670030958210999,0.5754314212855025,5.0,0.0048828125
lesion,preop,REAL_FLAIR,ResViT-2.5D-FLAIR,12,0.48313134222644166,0.5754314212855025,20.0,0.1513671875
lesion,preop,REAL_FLAIR,ResViT-2D+3D-refine-FLAIR,12,0.4194853456320761,0.5754314212855025,5.0,0.0048828125
lesion,preop,REAL_FLAIR,ResViT-2D-FLAIR,12,0.45130199150678346,0.5754314212855025,12.0,0.0341796875
lesion,preop,REAL_FLAIR,ResViT-3D-FLAIR,12,0.4439752557131585,0.5754314212855025,15.0,0.06396484375
lesion,preop,REAL_FLAIR,SynDiff-2.5D-FLAIR,12,0.33667443353505094,0.5754314212855025,3.0,0.00244140625
lesion,preop,REAL_FLAIR,SynDiff-2D-FLAIR,12,0.45240607049200166,0.5754314212855025,13.0,0.04248046875
lesion,preop,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,12,0.4324355761618966,0.5754314212855025,8.0,0.01220703125
lesion,preop,REAL_FLAIR,SynDiff-3D-FLAIR,12,0.34261754282016227,0.5754314212855025,5.0,0.0048828125
lesion,postop,REAL_FLAIR,GAN-cut-2.5D-FLAIR,7,0.16630346669299537,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,7,0.08437434574654136,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,GAN-cut-2D-FLAIR,7,0.017353884140542557,0.3995053446977716,2.0,0.046875
lesion,postop,REAL_FLAIR,GAN-cut-3D-FLAIR,7,0.19018709634326272,0.3995053446977716,6.0,0.21875
lesion,postop,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,7,0.11360867074128278,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,7,0.08117076610821776,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,7,0.12389803975311131,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,GAN-cyclegan-3D-FLAIR,7,0.15916648583072787,0.3995053446977716,4.0,0.109375
lesion,postop,REAL_FLAIR,GAN-pix2pix-2.5D-FLAIR,7,0.17816326693056758,0.3995053446977716,2.0,0.046875
lesion,postop,REAL_FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,7,0.18000004872055228,0.3995053446977716,4.0,0.109375
lesion,postop,REAL_FLAIR,GAN-pix2pix-2D-FLAIR,7,0.20717804741357518,0.3995053446977716,5.0,0.15625
lesion,postop,REAL_FLAIR,GAN-pix2pix-3D-FLAIR,7,0.13091354277786085,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,GAN-swinpix2pix-2.5D-FLAIR,7,0.13623677589597719,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,7,0.21672724798763102,0.3995053446977716,7.0,0.296875
lesion,postop,REAL_FLAIR,GAN-swinpix2pix-2D-FLAIR,7,0.2081898050047367,0.3995053446977716,7.0,0.296875
lesion,postop,REAL_FLAIR,GAN-swinpix2pix-3D-FLAIR,7,0.07591668587441902,0.3995053446977716,3.0,0.078125
lesion,postop,REAL_FLAIR,ResViT-2.5D-FLAIR,7,0.18302938513185865,0.3995053446977716,4.0,0.17295491798842066
lesion,postop,REAL_FLAIR,ResViT-2D+3D-refine-FLAIR,7,0.2055862909617819,0.3995053446977716,6.0,0.21875
lesion,postop,REAL_FLAIR,ResViT-2D-FLAIR,7,0.11588883781711178,0.3995053446977716,5.0,0.15625
lesion,postop,REAL_FLAIR,ResViT-3D-FLAIR,7,0.23144813338283618,0.3995053446977716,5.0,0.24886387493792206
lesion,postop,REAL_FLAIR,SynDiff-2.5D-FLAIR,7,0.17123345115706678,0.3995053446977716,7.0,0.296875
lesion,postop,REAL_FLAIR,SynDiff-2D-FLAIR,7,0.1916192720924657,0.3995053446977716,7.0,0.296875
lesion,postop,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,7,0.1781186733125479,0.3995053446977716,6.0,0.21875
lesion,postop,REAL_FLAIR,SynDiff-3D-FLAIR,7,0.15343071828870233,0.3995053446977716,6.0,0.21875
tumor,all,REAL_FLAIR,GAN-cut-2.5D-FLAIR,15,0.26822115802186225,0.46638046435971336,18.0,0.01507568359375
tumor,all,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,15,0.28127512446795083,0.46638046435971336,21.0,0.02557373046875
tumor,all,REAL_FLAIR,GAN-cut-2D-FLAIR,15,0.2122990984168887,0.46638046435971336,14.0,0.0067138671875
tumor,all,REAL_FLAIR,GAN-cut-3D-FLAIR,15,0.31892389313478353,0.46638046435971336,26.0,0.05535888671875
tumor,all,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,15,0.2804369529064782,0.46638046435971336,25.0,0.04791259765625
tumor,all,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,15,0.3442101339435576,0.46638046435971336,30.0,0.0946044921875
tumor,all,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,15,0.3518342639079586,0.46638046435971336,26.0,0.05535888671875
tumor,all,REAL_FLAIR,GAN-cyclegan-3D-FLAIR,15,0.3203826682408225,0.46638046435971336,30.0,0.0946044921875
tumor,all,REAL_FLAIR,GAN-pix2pix-2.5D-FLAIR,15,0.35179244222260997,0.46638046435971336,27.0,0.063720703125
tumor,all,REAL_FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,15,0.31895277708319625,0.46638046435971336,27.0,0.063720703125
tumor,all,REAL_FLAIR,GAN-pix2pix-2D-FLAIR,15,0.3018058509606253,0.46638046435971336,22.0,0.0301513671875
tumor,all,REAL_FLAIR,GAN-pix2pix-3D-FLAIR,15,0.23957918408680165,0.46638046435971336,15.0,0.00836181640625
tumor,all,REAL_FLAIR,GAN-swinpix2pix-2.5D-FLAIR,15,0.29508562125367505,0.46638046435971336,24.0,0.041259765625
tumor,all,REAL_FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,15,0.3696252728073562,0.46638046435971336,33.0,0.1353759765625
tumor,all,REAL_FLAIR,GAN-swinpix2pix-2D-FLAIR,15,0.35850320211521625,0.46638046435971336,36.0,0.1876220703125
tumor,all,REAL_FLAIR,GAN-swinpix2pix-3D-FLAIR,15,0.2196433941198717,0.46638046435971336,14.0,0.0067138671875
tumor,all,REAL_FLAIR,ResViT-2.5D-FLAIR,15,0.3432329713969188,0.46638046435971336,35.0,0.1688232421875
tumor,all,REAL_FLAIR,ResViT-2D+3D-refine-FLAIR,15,0.3602854871799125,0.46638046435971336,33.0,0.1353759765625
tumor,all,REAL_FLAIR,ResViT-2D-FLAIR,15,0.3658433163321699,0.46638046435971336,39.0,0.25238037109375
tumor,all,REAL_FLAIR,ResViT-3D-FLAIR,15,0.4092047487898937,0.46638046435971336,49.0,0.5614013671875
tumor,all,REAL_FLAIR,SynDiff-2.5D-FLAIR,15,0.27947083792706645,0.46638046435971336,23.0,0.03533935546875
tumor,all,REAL_FLAIR,SynDiff-2D-FLAIR,15,0.38089170003320766,0.46638046435971336,46.0,0.45428466796875
tumor,all,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,15,0.36040167360958714,0.46638046435971336,38.0,0.22930908203125
