set,class,phase,n_studies_total,n_gt_present,n_pred_when_gt_absent,n_dice_evaluable,dice_mean,dice_sd,dice_median,dice_min,dice_max,hd95_mean,hd95_median,nsd_mean,nsd_median
GAN-cyclegan-2D+3D-post-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2D+3D-post-FLAIR,lesion,all,19,19,0,19,0.3183669056842059,0.2311566795038889,0.31232249400057244,0.00046387568131740694,0.7277162722142368,16.904724949613783,18.120900516538313,0.26917617083070405,0.23667205169628433
GAN-cyclegan-2D+3D-post-FLAIR,lesion,postop,7,7,0,7,0.08117076610821776,0.07266250172386819,0.08566131816147798,0.00046387568131740694,0.18798423872138842,25.560204571677218,23.313478208564536,0.10519398524855947,0.09447179098826203
GAN-cyclegan-2D+3D-post-FLAIR,tumor,preop,12,12,0,12,0.42037743554612866,0.1940330398650987,0.3842451322699193,0.17802450229709035,0.7277162722142368,12.508055005231755,10.978557212503972,0.35278622130422366,0.24018439098984962
GAN-cyclegan-2D+3D-post-FLAIR,cavity,preop,12,3,0,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2D+3D-post-FLAIR,lesion,preop,12,12,0,12,0.45673132043686554,0.16693813716455896,0.4222365793084897,0.23892324755155367,0.7277162722142368,11.855695170076784,10.978557212503972,0.3648324457536218,0.27205912888153044
GAN-cyclegan-2D-FLAIR,tumor,all,19,15,4,15,0.3518342639079586,0.22504944899316953,0.2843282498184459,0.0287574218470563,0.7529005716398823,14.92286714568898,15.758221706546712,0.29988402645577344,0.2109687083888149
GAN-cyclegan-2D-FLAIR,tumor,postop,7,3,4,3,0.09928502063260854,0.0631284433942821,0.11859282671430535,0.0287574218470563,0.15050481333646396,23.683241085656224,25.021841432772995,0.122177582038499,0.1279025504377617
GAN-cyclegan-2D-FLAIR,cavity,all,19,9,1,9,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2D-FLAIR,lesion,all,19,19,0,19,0.3302163003121927,0.22159558976950575,0.2910905344686344,0.029977308013854054,0.7529005716398823,17.134838610393377,16.87429942078417,0.27048788062215723,0.20512576219512196
GAN-cyclegan-2D-FLAIR,lesion,postop,7,7,0,7,0.12389803975311131,0.08415760444885713,0.11859282671430535,0.029977308013854054,0.2910905344686344,25.597033919764904,24.505146879455967,0.12306085333700176,0.12
GAN-cyclegan-2D-FLAIR,tumor,preop,12,12,0,12,0.4149715747267962,0.20491948776242672,0.3457376379140985,0.18326642721318404,0.7529005716398823,12.732773660697164,12.399079274507038,0.344310637560092,0.23620234939933504
GAN-cyclegan-2D-FLAIR,cavity,preop,12,3,1,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2D-FLAIR,lesion,preop,12,12,0,12,0.45056861897165695,0.18330331128648847,0.4044854927656476,0.24523243654339766,0.7529005716398823,12.198558013259982,11.284759897883657,0.35648697987183126,0.2735684042760701
GAN-cyclegan-3D-FLAIR,tumor,all,19,15,4,15,0.3203826682408225,0.23817863133387776,0.2651939834600655,0.0,0.6995399315795683,14.169142109264552,13.818370960343824,0.331519982272602,0.2955058809616593
GAN-cyclegan-3D-FLAIR,tumor,postop,7,3,4,3,0.15428045372797466,0.09868116857835073,0.12144259077526988,0.07620478694858861,0.2651939834600655,19.26644026831911,19.069578394605017,0.2062090171677261,0.19166967183555716
GAN-cyclegan-3D-FLAIR,cavity,all,19,9,2,9,0.0,0.0,0.0,0.0,0.0,21.56156677031675,21.56156677031675,0.0,0.0
GAN-cyclegan-3D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,21.56156677031675,21.56156677031675,0.0,0.0
GAN-cyclegan-3D-FLAIR,lesion,all,19,19,0,19,0.29941757857110557,0.22390607610410576,0.25529065095097775,0.0,0.6995399315795683,18.70916561274946,18.261305575593752,0.2911210508224105,0.22963361985444003
GAN-cyclegan-3D-FLAIR,lesion,postop,7,7,0,7,0.15916648583072787,0.13936563457784068,0.13588215822575306,0.0,0.411930405965203,27.31158160629895,23.672949995437254,0.16075957641408273,0.18756498232480764
GAN-cyclegan-3D-FLAIR,tumor,preop,12,12,0,12,0.3619082218690346,0.24703120958979344,0.3879511587933285,0.0,0.6995399315795683,12.778969884067857,8.878373485806058,0.3656957000284773,0.3301416048550236
GAN-cyclegan-3D-FLAIR,cavity,preop,12,3,2,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-3D-FLAIR,lesion,preop,12,12,0,12,0.3812307160029926,0.22720851842723588,0.3879511587933285,0.0,0.6995399315795683,13.234900889581604,8.878373485806058,0.37407835271861917,0.3301416048550236
GAN-pix2pix-2.5D-FLAIR,tumor,all,19,15,4,15,0.35179244222260997,0.23132631927994088,0.2802461277318056,0.0,0.8051455239150294,13.76480653589665,12.335687046668594,0.32582154231925775,0.2167058034216706
GAN-pix2pix-2.5D-FLAIR,tumor,postop,7,3,4,3,0.1281809748761735,0.11573876402046392,0.1595195195195195,0.0,0.22502340510900093,22.954320252145255,22.032056942993734,0.13880973908518626,0.20657057281916885
GAN-pix2pix-2.5D-FLAIR,cavity,all,19,9,5,9,0.0004237206525298049,0.0012711619575894147,0.0,0.0,0.003813485872768244,41.808950213354095,41.808950213354095,0.03786295005807201,0.03786295005807201
GAN-pix2pix-2.5D-FLAIR,cavity,postop,7,6,1,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-2.5D-FLAIR,lesion,all,19,19,0,19,0.33802761887008503,0.24923345275362985,0.34459724950884085,0.003527336860670194,0.8059697793346167,15.37521766329652,12.33301687114758,0.29347809178031853,0.2190511149857759
GAN-pix2pix-2.5D-FLAIR,lesion,postop,7,7,0,7,0.17816326693056758,0.2381166997188175,0.08840673575129533,0.003527336860670194,0.6510477760517389,22.851662204889276,21.265903365238294,0.15222423847168406,0.0761355174981385
GAN-pix2pix-2.5D-FLAIR,tumor,preop,12,12,0,12,0.4076953090592191,0.2205091978406103,0.3515127353213292,0.16097171646630418,0.8051455239150294,11.467428106834495,8.933588560485802,0.3725744931277757,0.2782005814032392
GAN-pix2pix-2.5D-FLAIR,cavity,preop,12,3,4,3,0.0012711619575894147,0.0022017170951935806,0.0,0.0,0.003813485872768244,41.808950213354095,41.808950213354095,0.03786295005807201,0.03786295005807201
GAN-pix2pix-2.5D-FLAIR,lesion,preop,12,12,0,12,0.4312818241681369,0.21205956207899543,0.37542666674086156,0.09083376080179931,0.8059697793346167,11.013958347367412,8.906567652199318,0.3758761728770219,0.2843375966766558
GAN-pix2pix-2D+3D-post-FLAIR,tumor,all,19,15,4,15,0.31895277708319625,0.26285497958031084,0.2644023675973845,0.0,0.7755179637544192,16.237431391973022,12.616302936491103,0.2956573598181398,0.25928719592683386
GAN-pix2pix-2D+3D-post-FLAIR,tumor,postop,7,3,4,3,0.05467465763365612,0.055468926975150996,0.05311885198472399,0.0,0.11090512091624438,32.15818570871326,28.546852213949972,0.0958793449591932,0.08091787439613526
GAN-pix2pix-2D+3D-post-FLAIR,cavity,all,19,9,2,9,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-2D+3D-post-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-2D+3D-post-FLAIR,lesion,all,19,19,0,19,0.3280633147337457,0.23119240057601056,0.35327364638528536,0.0,0.7755179637544192,15.823366494885779,10.802652311010903,0.28268055291597355,0.25928719592683386
GAN-pix2pix-2D+3D-post-FLAIR,lesion,postop,7,7,0,7,0.18000004872055228,0.14675759179116407,0.16060884398372918,0.0,0.38863994186750633,22.6888207275395,19.258400656803122,0.15954659214436392,0.17362270450751252
GAN-pix2pix-2D+3D-post-FLAIR,tumor,preop,12,12,0,12,0.3850223069455813,0.2521243909748041,0.40835968931049754,0.0,0.7755179637544192,12.25724281278796,10.296592434341314,0.3456018635328764,0.2797584537896876
GAN-pix2pix-2D+3D-post-FLAIR,cavity,preop,12,3,2,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-2D+3D-post-FLAIR,lesion,preop,12,12,0,12,0.4144335532414419,0.2315746478170995,0.41597893063679053,0.0026697814116469214,0.7755179637544192,11.81851819250444,9.731409032379055,0.3545086966994125,0.2918688112099017
GAN-pix2pix-2D-FLAIR,tumor,all,19,15,4,15,0.3018058509606253,0.269267604570608,0.20561261292206232,0.0,0.770672376029129,14.06329834876656,13.284094873360658,0.31610127844228353,0.24461680317385015
GAN-pix2pix-2D-FLAIR,tumor,postop,7,3,4,3,0.049206181968470854,0.022503592744391624,0.051034172661870505,0.025844346549192366,0.0707400266943497,23.515248534940664,24.653935844229025,0.09786827884706044,0.09571045576407507
GAN-pix2pix-2D-FLAIR,cavity,all,19,9,2,9,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-2D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-2D-FLAIR,lesion,all,19,19,0,19,0.3266886189403955,0.24515071597437754,0.32387399114813853,0.0,0.770672376029129,13.84880504074586,12.220285110652245,0.3038367396881376,0.2532353564123001
GAN-pix2pix-2D-FLAIR,lesion,postop,7,7,0,7,0.20717804741357518,0.1981988224156366,0.17879776041346213,0.0383887071785161,0.5917629509771699,18.27353166464439,18.205240115779283,0.17573641670299742,0.11405321622319814
GAN-pix2pix-2D-FLAIR,tumor,preop,12,12,0,12,0.3649557682086639,0.2653955973324364,0.34048010714549165,0.0,0.770672376029129,11.485493752537254,10.645539863073019,0.3756193692409807,0.2650851461758047
GAN-pix2pix-2D-FLAIR,cavity,preop,12,3,2,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-2D-FLAIR,lesion,preop,12,12,0,12,0.39640311899770736,0.25005132370671185,0.4226122628103727,0.0,0.770672376029129,11.033069916446795,8.860321013029576,0.3853551270423177,0.2651112423705454
GAN-pix2pix-3D-FLAIR,tumor,all,19,15,4,15,0.23957918408680165,0.22015015126429405,0.2793956863134877,0.0,0.6574625859511932,17.950049593053556,13.436096763000844,0.2663144767970027,0.2032520325203252
GAN-pix2pix-3D-FLAIR,tumor,postop,7,3,4,3,0.11805475396193066,0.15096601100662135,0.06600538819495469,0.0,0.2881588736908373,19.441825218062,19.441825218062,0.20086372159309324,0.20086372159309324
GAN-pix2pix-3D-FLAIR,cavity,all,19,9,1,9,0.0,0.0,0.0,0.0,0.0,52.30679258690896,52.30679258690896,0.0,0.0
GAN-pix2pix-3D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-pix2pix-3D-FLAIR,lesion,all,19,19,0,19,0.22728992071635826,0.20314020448259912,0.1615345137285091,0.0,0.6574625859511932,20.354763998411453,21.437349420983175,0.23689849950849406,0.19335673778017823
GAN-pix2pix-3D-FLAIR,lesion,postop,7,7,0,7,0.13091354277786085,0.1478358455632738,0.13451511991657977,0.0,0.412858080034988,24.15109642464169,24.13303837318709,0.14066085050323948,0.13118207118765704
GAN-pix2pix-3D-FLAIR,tumor,preop,12,12,0,12,0.26996029161801943,0.22914129677713435,0.28699563391810956,0.0,0.6574625859511932,17.678817661233836,13.436096763000844,0.2782146141068044,0.2032520325203252
