set,study,cls,gt_present,gt_vox,pred_vox,dice,nsd
FLOOR_US_HISTM,ReMIND-003-pre,lesion,1,10844,7146,0.6415786548082268,0.549034175334324
FLOOR_US_HISTM,ReMIND-003-pre,tumor,1,10844,6974,0.6432820743068807,0.5625771414465565
FLOOR_US_HISTM,ReMIND-003-pre,cavity,0,0,172,nan,nan
FLOOR_US_HISTM,ReMIND-004-pre,lesion,1,2043,2532,0.008306010928961749,0.03225806451612903
FLOOR_US_HISTM,ReMIND-004-pre,tumor,1,2043,2532,0.008306010928961749,0.03225806451612903
FLOOR_US_HISTM,ReMIND-004-pre,cavity,0,0,0,nan,nan
FLOOR_US_HISTM,ReMIND-023-pre,lesion,1,3895,2213,0.43418467583497056,0.3311304347826087
FLOOR_US_HISTM,ReMIND-023-pre,tumor,1,3895,2115,0.426955074875208,0.31243358129649307
FLOOR_US_HISTM,ReMIND-023-pre,cavity,0,0,98,nan,nan
FLOOR_US_HISTM,ReMIND-031-post,lesion,1,32424,16927,0.04636177585054001,0.08259506610331198
FLOOR_US_HISTM,ReMIND-031-post,tumor,0,0,14794,nan,nan
FLOOR_US_HISTM,ReMIND-031-post,cavity,1,32424,2133,0.05660213560204879,0.1011451976928864
FLOOR_US_HISTM,ReMIND-031-pre,lesion,1,8344,10658,0.19376907693926956,0.17458659704090512
FLOOR_US_HISTM,ReMIND-031-pre,tumor,1,8344,10464,0.19576775840068056,0.1766778227937291
FLOOR_US_HISTM,ReMIND-031-pre,cavity,0,0,194,nan,nan
FLOOR_US_HISTM,ReMIND-032-post,lesion,1,19578,6474,0.2207891908490711,0.18204708548407403
FLOOR_US_HISTM,ReMIND-032-post,tumor,1,13367,5768,0.12646981970211654,0.2855886417891695
FLOOR_US_HISTM,ReMIND-032-post,cavity,1,6211,706,0.0529131126210785,0.1451783821971035
FLOOR_US_HISTM,ReMIND-032-pre,lesion,1,32911,17025,0.6487504005126562,0.4362941560257247
FLOOR_US_HISTM,ReMIND-032-pre,tumor,1,32911,16892,0.6453426500411622,0.42885899899350355
FLOOR_US_HISTM,ReMIND-032-pre,cavity,0,0,133,nan,nan
FLOOR_US_HISTM,ReMIND-034-post,lesion,1,13416,16442,0.023377319311407328,0.05630081300813008
FLOOR_US_HISTM,ReMIND-034-post,tumor,1,516,16118,0.002044006252254419,0.018194791295041028
FLOOR_US_HISTM,ReMIND-034-post,cavity,1,12900,324,0.031004234724742893,0.08556882710005874
FLOOR_US_HISTM,ReMIND-034-pre,lesion,1,227364,24095,0.13984784795930946,0.16506206333581427
FLOOR_US_HISTM,ReMIND-034-pre,tumor,1,206728,22118,0.153666657927165,0.17236336286144074
FLOOR_US_HISTM,ReMIND-034-pre,cavity,1,20636,1977,0.0,0.0
FLOOR_US_HISTM,ReMIND-045-post,lesion,1,8416,2172,0.0,0.0
FLOOR_US_HISTM,ReMIND-045-post,tumor,1,3767,1568,0.0,0.0
FLOOR_US_HISTM,ReMIND-045-post,cavity,1,4649,604,0.0,0.0
FLOOR_US_HISTM,ReMIND-045-pre,lesion,1,123470,68947,0.5634637272174496,0.48892482603155935
FLOOR_US_HISTM,ReMIND-045-pre,tumor,1,123470,68947,0.5634637272174496,0.48892482603155935
FLOOR_US_HISTM,ReMIND-045-pre,cavity,0,0,0,nan,nan
FLOOR_US_HISTM,ReMIND-056-post,lesion,1,17551,741,0.0,0.0
FLOOR_US_HISTM,ReMIND-056-post,tumor,0,0,741,nan,nan
FLOOR_US_HISTM,ReMIND-056-post,cavity,1,17551,0,0.0,nan
FLOOR_US_HISTM,ReMIND-056-pre,lesion,1,55846,11242,0.33135583114715,0.1703361344537815
FLOOR_US_HISTM,ReMIND-056-pre,tumor,1,55846,11242,0.33135583114715,0.1703361344537815
FLOOR_US_HISTM,ReMIND-056-pre,cavity,0,0,0,nan,nan
FLOOR_US_HISTM,ReMIND-077-post,lesion,1,4861,2817,0.121385777546236,0.20591207680646792
FLOOR_US_HISTM,ReMIND-077-post,tumor,1,2094,2369,0.10262155500784226,0.15
FLOOR_US_HISTM,ReMIND-077-post,cavity,1,2767,448,0.12877138413685849,0.24608150470219436
FLOOR_US_HISTM,ReMIND-077-pre,lesion,1,12106,7634,0.38551165146909827,0.40219812862022875
