class,dice_max,dice_mean,dice_median,dice_min,dice_n,dice_sd,hd95_mm_max,hd95_mm_mean,hd95_mm_median,hd95_mm_min,hd95_mm_n,hd95_mm_sd,n_both_present,n_obs1_present,n_total,nsd2mm_max,nsd2mm_mean,nsd2mm_median,nsd2mm_min,nsd2mm_n,nsd2mm_sd,scope
tumor,0.842911877394636,0.6893140954611845,0.7281390652837494,0.45827681487063554,14,0.12555382660046344,15.066344946165128,5.1192910035437365,4.421222134896352,0.010589930810965598,14,4.302694417283145,14,14,14,1.0,0.6348704777624672,0.591102353385955,0.3841646450374557,14,0.1839890758444476,test_preop
tumor,0.7930075486690504,0.2797814724079824,0.20083932853717026,0.0,7,0.3216929531363532,22.05690811534742,10.298074058744561,8.584604910817152,1.966178297996521,4,8.607094606179517,4,7,13,0.9142276422764227,0.5673813691272737,0.5090782846281777,0.3371412649763165,4,0.2600642941883106,test_postop
tumor,0.9547153081259104,0.47038257158381636,0.5180880974695408,0.0,101,0.2981364860699995,36.170121518519814,9.023101140896971,6.61633049737657,0.0,86,7.9343778480279505,86,101,120,1.0,0.527830851196801,0.5104578904214894,0.0003249390739236393,86,0.2387557755055783,train_no_copies
tumor,0.9547153081259104,0.632068748642348,0.653300358236337,0.0,74,0.20064855385743752,28.290774582157837,7.1144131309194725,4.984769216484578,0.0,74,6.433895383372148,74,74,74,1.0,0.5786409149405333,0.5608949998813324,0.01024279210925645,74,0.22654636331171737,all_preop
tumor,0.802781511131888,0.25717541611967,0.16596553522898805,0.0,48,0.2761537343319543,36.170121518519814,12.079416557122974,9.086953478502409,1.9579838514328003,30,9.214380955624176,30,48,73,0.9377123442808607,0.4577245887503022,0.4504465701922781,0.0003249390739236393,30,0.2326694955331623,all_postop
tumor,1.0,0.5009325982006184,0.5708091383687571,0.0,126,0.30520945304091673,36.170121518519814,8.230083966682686,5.705095196815247,0.0,108,7.668141854110349,108,126,153,1.0,0.5606589385935974,0.541913223567571,0.0003249390739236393,108,0.24514710477815238,all_with_copies
cavity,0.8345035105315948,0.47847605944737603,0.503722334373174,0.0,76,0.19887045812685894,34.519083991055886,9.327933975013007,8.189423350304095,1.3579742172457745,73,6.58508820494795,73,76,147,0.9675255469876497,0.5222892668047203,0.5154777927321669,0.12077294685990338,73,0.20875996508366199,all_no_copies
cavity,0.7239204269771955,0.44826743574035044,0.43887582346089393,0.1685823754789272,12,0.18824334776266533,17.41998484467516,7.999727405908615,6.350400645980121,1.3579742172457745,12,5.063975432515446,12,12,27,0.9675255469876497,0.49325109833864134,0.4564617468825003,0.12077294685990338,12,0.24866914195080528,test_no_copies
cavity,0.7239204269771955,0.7239204269771955,0.7239204269771955,0.7239204269771955,1,0.0,3.513198533255558,3.513198533255558,3.513198533255558,3.513198533255558,1,0.0,1,1,14,0.812910938433951,0.812910938433951,0.812910938433951,0.812910938433951,1,0.0,test_preop
cavity,0.710794420861128,0.42320807290063717,0.43818590506412797,0.1685823754789272,11,0.17518529557094015,17.41998484467516,8.407593667058892,6.508926580369575,1.3579742172457745,11,5.100230131183677,11,11,13,0.9675255469876497,0.4641911128754314,0.4375947448206165,0.12077294685990338,11,0.23848019625703648,test_postop
cavity,0.8345035105315948,0.48414017639244333,0.505685369655601,0.0,64,0.20171543300334377,34.519083991055886,9.589220513197477,8.279918570519943,1.5873147249221802,61,6.849266893602464,61,64,120,0.9362373737373737,0.528001693388211,0.5464868701206529,0.15255292652552926,61,0.20188706290979,train_no_copies
cavity,0.7239204269771955,0.3194102663742167,0.37626404904760186,0.0,8,0.29224917615971235,21.58729954862225,12.33312355933013,12.298755111151413,3.513198533255558,5,6.3947914477540975,5,8,74,0.812910938433951,0.48721590902708584,0.402235516372796,0.23335985149827632,5,0.2237178566961561,all_preop
cavity,0.8345035105315948,0.49718968216186543,0.5087699944842803,0.14237614237614238,68,0.17880671532315887,34.519083991055886,9.106964152636746,7.504127338919097,1.3579742172457745,68,6.59048874384855,68,68,73,0.9675255469876497,0.5248681901707228,0.5208249227657193,0.12077294685990338,68,0.2091564571957474,all_postop
cavity,1.0,0.4918484681794945,0.505685369655601,0.0,78,0.21308603872354734,34.519083991055886,9.07918906901266,7.8986811412986215,0.0,75,6.6693571070543705,75,78,153,1.0,0.5350282196899278,0.5261720527992717,0.12077294685990338,75,0.22001400685566824,all_with_copies
