phase,roi,dilation_mm,comparison,metric,n,mean_A,mean_B,stat,p
all,lesion,0.0,pix2pix-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.169602400173266,15.36103028228957,24.0,0.0014324188232421875
all,lesion,0.0,pix2pix-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11586765395137248,0.10499907631036795,19.0,0.0005855560302734375
all,lesion,0.0,SwinPix2Pix-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.742044480108393,0.7566241829868274,30.0,0.00365447998046875
all,lesion,0.0,SwinPix2Pix-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.34733410271517,15.36103028228957,35.0,0.0072956085205078125
all,lesion,0.0,SwinPix2Pix-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11072912460062909,0.10499907631036795,65.0,0.14290618896484375
all,lesion,0.0,CycleGAN-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7417594288698552,0.7566241829868274,39.0,0.012079238891601562
all,lesion,0.0,CycleGAN-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.135247298536319,15.36103028228957,22.0,0.0010166168212890625
all,lesion,0.0,CycleGAN-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.113020867182521,0.10499907631036795,34.0,0.006389617919921875
all,lesion,0.0,SwinPix2Pix-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7318190328952359,0.7566241829868274,3.0,9.5367431640625e-06
all,lesion,0.0,SwinPix2Pix-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.15228454074747,15.36103028228957,32.0,0.00485992431640625
all,lesion,0.0,SwinPix2Pix-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10347219952293718,0.10499907631036795,81.0,0.38837623596191406
all,lesion,0.0,ResViT-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7321109322478432,0.7566241829868274,47.0,0.029575347900390625
all,lesion,0.0,ResViT-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.725227081877652,15.36103028228957,65.0,0.14290618896484375
all,lesion,0.0,ResViT-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.09288835977997358,0.10499907631036795,53.0,0.05316925048828125
all,lesion,0.0,SwinPix2Pix-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7308772849028282,0.7566241829868274,25.0,0.001689910888671875
all,lesion,0.0,SwinPix2Pix-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.16886744201139,15.36103028228957,27.0,0.0023250579833984375
all,lesion,0.0,SwinPix2Pix-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11228154826224226,0.10499907631036795,66.0,0.15364646911621094
all,lesion,0.0,CUT-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7379087017256631,0.7566241829868274,24.0,0.0014324188232421875
all,lesion,0.0,CUT-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.989480423031562,15.36103028228957,20.0,0.0007076263427734375
all,lesion,0.0,CUT-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11467647925706348,0.10499907631036795,51.0,0.04405403137207031
all,lesion,0.0,CUT-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7373307759136661,0.7566241829868274,13.0,0.0001678466796875
