method,family,backbone,architecture,target,channel,roi,dilation_mm,phase,n_subjects,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,ssim_n,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,psnr_n,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,mae_n,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,lpips_n
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,lesion,5.0,post,8,0.61170806174236,0.056393696714847605,0.03907883805598134,0.6071895588457799,0.5430692035387604,0.7146055295865231,8,12.939627789953896,1.7858502744188731,1.237531102440933,12.842470913892171,10.303459246168776,16.531595049742165,8,0.16209376510232687,0.038007754784630185,0.026338030322969698,0.1572667509317398,0.10226532071828842,0.22902058064937592,8,0.22450986159321956,0.04422677626788903,0.030647592340863707,0.22914840187379382,0.1285513253374533,0.2734210402122699,8
pix2pix-2.5D-T2+FLAIR,pix2pix,GAN,2.5D,t2_flair,t2,lesion,5.0,post,8,0.6105408666276514,0.049233927296970806,0.03411737097901085,0.5994500066661147,0.540951726544842,0.692005414414968,8,13.175664566449072,1.7331155955003616,1.2009878343552978,12.884394187579808,10.604081290299188,16.506442238671884,8,0.15643855277448893,0.03538329580870527,0.02451937303892374,0.15337031334638596,0.10340163856744766,0.2210228592157364,8,0.2111862636829689,0.043345706402498435,0.030037042073877234,0.21598455172410624,0.11968542974103581,0.26306218846002594,8
CUT-2D-T2,CUT,GAN,2D,t2,t2,lesion,5.0,post,14,0.608765853383942,0.05088508218460509,0.026655236108567744,0.6056139970367511,0.5296259151017136,0.7043283508014768,14,12.684913346996934,1.57899942241944,0.8271304793650479,12.408035917808743,10.287325636193305,16.404596814105858,14,0.16786874777504376,0.03511184777760057,0.01839271064404779,0.16562222689390182,0.10339295119047165,0.2297784984111786,14,0.2208925150359029,0.03194168379363065,0.016732077195740987,0.2257712894276931,0.1332969679073854,0.26112792268395424,14
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,lesion,5.0,post,14,0.6073194303892961,0.05167193489895637,0.027067414766501523,0.6032722496471696,0.529489535745281,0.7037840274830663,14,12.74685152949942,1.6711545148741838,0.8754042689027457,12.56989611409397,10.213557680394572,16.797801827846705,14,0.1684813451554094,0.036606186491976396,0.019175493132505914,0.16579461097717285,0.10155441612005234,0.23134812712669373,14,0.22633265450918721,0.038427536191342475,0.020129574450420334,0.23203046368864866,0.1209479717707092,0.2768772113351868,14
CUT-2.5D-T2,CUT,GAN,2.5D,t2,t2,lesion,5.0,post,14,0.6067429217270839,0.0498712011930122,0.02612413276635729,0.6004467041217239,0.5320906560870254,0.7052718594115104,14,12.734468320174704,1.5760899302171916,0.8256063941464052,12.548151911918884,10.308534550055787,16.557926554494934,14,0.1670592256954738,0.03512462998734627,0.018399406374979794,0.16212022304534912,0.10202613472938538,0.22790957987308502,14,0.229721016017762,0.03496382973091233,0.018315174049560425,0.23971054161548133,0.13016047193245453,0.2667173037950236,14
pix2pix-3D-T2+FLAIR,pix2pix,GAN,3D,t2_flair,t2,lesion,5.0,post,8,0.599466578754392,0.049681220211758366,0.03442732915516937,0.6053035192529279,0.5040356672746928,0.6771635086517993,8,13.307194739397415,1.7279977115767342,1.1974413217361297,13.175545829454844,10.253488717532553,16.582914639132188,8,0.15265235677361488,0.03562707415954574,0.02468830281740979,0.15119998157024384,0.10312165319919586,0.2279050499200821,8,0.1856371240521727,0.035409903599137475,0.0245378112969898,0.18580498783118882,0.12271251834251663,0.23052657843800262,8
CycleGAN-3D-T2,CycleGAN,GAN,3D,t2,t2,lesion,5.0,post,14,0.5939734821337901,0.046308499672175096,0.02425787558163376,0.5897101393954411,0.5196794918092916,0.671338387792849,14,12.891200222033833,1.536216134176485,0.8047192224571855,12.799802071385034,10.119625539837578,16.4240978999496,14,0.16037112953407423,0.03364875677602677,0.01762629670854924,0.15458590537309647,0.10588886588811874,0.23505327105522156,14,0.16102832397139286,0.031368171438069935,0.016431653051918405,0.15205072022801047,0.11052132194692438,0.23505280370062048,14
CUT-2D-T2+FLAIR,CUT,GAN,2D,t2_flair,t2,lesion,5.0,post,8,0.5923891030211731,0.04350775675097419,0.030149337236172063,0.5834269154601434,0.5378848518185623,0.6639398888215493,8,12.687568872695383,1.6629520781655829,1.1523669974339623,12.63897872580434,9.952152816674994,15.88928475793136,8,0.1672214362770319,0.03715101458158977,0.025744339651830383,0.1637703999876976,0.11225850880146027,0.24169091880321503,8,0.18026281096757557,0.0332663162495308,0.023052381049036674,0.18252243022038506,0.11928808892315085,0.22043579478155484,8
SwinPix2Pix-3D-T2,SwinPix2Pix,GAN,3D,t2,t2,lesion,5.0,post,14,0.5919746958996966,0.04778056277928471,0.025028989393425738,0.5931068342359496,0.5069304756120009,0.666019362229613,14,13.114793188906614,1.5490885489312571,0.8114622056625791,12.951363638715423,10.366364375633822,16.41110302815037,14,0.15721889478819712,0.03323824627254373,0.017411258156470454,0.1497754007577896,0.10598687827587128,0.22470107674598694,14,0.1814311541426203,0.030895585885635197,0.01618409760067739,0.17646725933484145,0.11498459208418023,0.22077848768094555,14
CycleGAN-3D-T2+FLAIR,CycleGAN,GAN,3D,t2_flair,t2,lesion,5.0,post,8,0.5915822947319913,0.03963482661631895,0.02746553357812115,0.5935339528642869,0.5258337881565436,0.656009229042949,8,13.094195946814738,1.7008741073242668,1.1786456229289324,13.097740903561771,10.128282721353031,16.39887691211762,8,0.15665671788156033,0.03516034963960728,0.02436487922587516,0.15175022929906845,0.10696280002593994,0.231564000248909,8,0.16314789247823624,0.03792964442574612,0.026283902605810816,0.1504200779099641,0.11720776828852567,0.2347490055994554,8
pix2pix-3D-T2,pix2pix,GAN,3D,t2,t2,lesion,5.0,post,14,0.5858491972610894,0.04518051617170415,0.023667001690096286,0.5893874463445221,0.5183566163696309,0.6666501446055857,14,12.902025675485879,1.4468707161513708,0.757917230391255,12.861403276903173,10.642888457174616,15.847496395652803,14,0.16102264023252896,0.031680738948437794,0.016595385926683085,0.15194794535636902,0.11089950054883957,0.219706192612648,14,0.18443131679372154,0.031405965676750705,0.01645145088484564,0.1822042481050405,0.12843651713972742,0.22459115388874823,14
CUT-3D-T2,CUT,GAN,3D,t2,t2,lesion,5.0,post,14,0.5822894734883491,0.04820345520897678,0.02525051399509727,0.5813956651217482,0.508742270492005,0.6560999527172263,14,13.011951209548211,1.5556139425786544,0.8148804158905139,12.917322729651236,9.897652481330926,16.02231934076264,14,0.16053350642323494,0.03610026697743615,0.018910476284088953,0.15254414826631546,0.11075787991285324,0.24351587891578674,14,0.1526877461455806,0.028946522282315864,0.01516311564866611,0.14673011664580177,0.1193556719544259,0.23123807392337106,14
CUT-3D-T2+FLAIR,CUT,GAN,3D,t2_flair,t2,lesion,5.0,post,8,0.579911517185621,0.041935808419971375,0.02906003261813564,0.589253063099759,0.5169132733013457,0.641066477096375,8,13.245424085252495,1.741427369984613,1.206747600214775,13.260169210304543,9.843838537069601,16.039174513874254,8,0.15670949313789606,0.04011532619838548,0.027798502800700963,0.15233557671308517,0.10981159657239914,0.24782219529151917,8,0.15654606293096646,0.04118073929175451,0.028536796407325416,0.14472292913199375,0.11849784237496994,0.2395549670539119,8
CycleGAN-2D-T2,CycleGAN,GAN,2D,t2,t2,lesion,5.0,post,14,0.523485954319141,0.049336447515463955,0.025844011659678878,0.5219253942581195,0.4439347261968364,0.6159719413904545,14,11.068132293851173,1.2209912513432162,0.6395943308684584,11.013423493686632,9.059009616363207,13.374407188393505,14,0.20725822342293604,0.0331466995705357,0.01736330306133801,0.2089151218533516,0.15712420642375946,0.2681068480014801,14,0.19465782838308013,0.03373491813101843,0.017671430786399496,0.1862308334690683,0.14285660245352322,0.2682483536614613,14
ResViT-2D+3D-refine-T2+FLAIR,ResViT,ResViT,2D+3D-refine,t2_flair,flair,lesion,5.0,post,8,0.6325894401587824,0.0416556128796283,0.02886586701483352,0.6363996216932304,0.561869845228008,0.6978119161656164,8,14.6865313338613,1.3834097090753583,0.9586540187175648,14.753747166059313,12.678941259417417,16.467893557901366,8,0.1338379979133606,0.02888525658030308,0.020016461588160738,0.13872840255498886,0.08896442502737045,0.17851625382900238,8,0.15143735586247606,0.024673190807236924,0.01709764892264068,0.15144334716553037,0.11518216682107825,0.18800964741967618,8
ResViT-3D-T2+FLAIR,ResViT,ResViT,3D,t2_flair,flair,lesion,5.0,post,8,0.6209637463825557,0.04538399175496988,0.03144950176070849,0.6211261771734522,0.5449754903482482,0.708492913851491,8,14.219086971529862,2.3994186302350933,1.6627122806576802,13.88103053485662,11.516801796400372,17.626013778203852,8,0.1429947791621089,0.04035483742227432,0.027964475611071408,0.140001580119133,0.0843673124909401,0.18912050127983093,8,0.17649446837506771,0.03825476356826371,0.026509198677171206,0.17277339760607535,0.12166504218028142,0.22797120669308832,8
