Experiment,Family,Variant,Target,ssim_t2_mean,ssim_t2_sd,ssim_t2_lo,ssim_t2_hi,ssim_t2_n,ssim_t2_str,psnr_t2_mean,psnr_t2_sd,psnr_t2_lo,psnr_t2_hi,psnr_t2_n,psnr_t2_str,mae_t2_mean,mae_t2_sd,mae_t2_lo,mae_t2_hi,mae_t2_n,mae_t2_str,lpips_t2_mean,lpips_t2_sd,lpips_t2_lo,lpips_t2_hi,lpips_t2_n,lpips_t2_str,ssim_flair_mean,ssim_flair_sd,ssim_flair_lo,ssim_flair_hi,ssim_flair_n,ssim_flair_str,psnr_flair_mean,psnr_flair_sd,psnr_flair_lo,psnr_flair_hi,psnr_flair_n,psnr_flair_str,mae_flair_mean,mae_flair_sd,mae_flair_lo,mae_flair_hi,mae_flair_n,mae_flair_str,lpips_flair_mean,lpips_flair_sd,lpips_flair_lo,lpips_flair_hi,lpips_flair_n,lpips_flair_str
swinpix2pix_2d_t2,SwinPix2Pix,2D,T2 only,0.7845127415494202,0.0379593983591683,0.7703384692544614,0.798687013844379,30,0.785 (0.770–0.799),14.919530790689453,1.129233388537111,14.497868113577553,15.341193467801354,30,14.92 (14.50–15.34),0.11888442436854044,0.022211451785664364,0.11059053196546671,0.12717831677161417,30,0.119 (0.111–0.127),0.2501956262371607,0.029603342875842854,0.2391415563387668,0.2612496961355546,30,0.250 (0.239–0.261),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
swinpix2pix_2d_t2_flair,SwinPix2Pix,2D,T2+FLAIR,0.7872162371615231,0.02785063914175868,0.7741817368151779,0.8002507375078683,20,0.787 (0.774–0.800),14.606403216215403,1.1932557325819648,14.047942342823902,15.164864089606905,20,14.61 (14.05–15.16),0.12189036235213287,0.025177695670369666,0.11010683805794369,0.13367388664632204,20,0.122 (0.110–0.134),0.244982208845031,0.026698625565815336,0.23248686744861852,0.2574775502414435,20,0.245 (0.232–0.257),0.7650572394276873,0.040887879559887486,0.7459211227456979,0.7841933561096768,20,0.765 (0.746–0.784),14.99596991210333,1.2065033774791458,14.431308950048813,15.560630874157848,20,15.00 (14.43–15.56),0.13407908976078026,0.02243725516736163,0.12357813110193545,0.14458004841962505,20,0.134 (0.124–0.145),0.2488518498415928,0.03846316879239279,0.23085053273019232,0.2668531669529933,20,0.249 (0.231–0.267)
swinpix2pix_2d_3dpost_t2,SwinPix2Pix,2D+3D-post,T2 only,0.8127929231071981,0.03811301321942574,0.798561290080722,0.8270245561336742,30,0.813 (0.799–0.827),14.882187544774673,1.2160482593005544,14.428107662157842,15.336267427391505,30,14.88 (14.43–15.34),0.11967686663071311,0.023427433961818983,0.11092891902087477,0.12842481424055144,30,0.120 (0.111–0.128),0.2346044075632506,0.033924841918664385,0.2219366634022729,0.2472721517242283,30,0.235 (0.222–0.247),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
swinpix2pix_2d_3dpost_t2_flair,SwinPix2Pix,2D+3D-post,T2+FLAIR,0.8067617410775976,0.025285796232195068,0.794927624163132,0.8185958579920631,20,0.807 (0.795–0.819),14.611299755777557,1.3143479947204586,13.996165959199264,15.22643355235585,20,14.61 (14.00–15.23),0.12202590927481656,0.02639589494299151,0.10967225017115009,0.13437956837848303,20,0.122 (0.110–0.134),0.2428608310945009,0.02754206743038903,0.22997074675449025,0.25575091543451156,20,0.243 (0.230–0.256),0.786538211436743,0.03654285477220061,0.7694356289516425,0.8036407939218434,20,0.787 (0.769–0.804),14.913098672469038,1.2715115364477088,14.318012955482397,15.50818438945568,20,14.91 (14.32–15.51),0.13264720551669607,0.022475417339213474,0.12212838641164434,0.1431660246217478,20,0.133 (0.122–0.143),0.2472655033213035,0.0414071831889179,0.22788634505962163,0.2666446615829854,20,0.247 (0.228–0.267)
swinpix2pix_3d_t2,SwinPix2Pix,Full-3D,T2 only,0.7853026542123428,0.043209570819054605,0.7691679353018241,0.8014373731228615,30,0.785 (0.769–0.801),14.24500918127088,0.958541286625967,13.88708398250874,14.602934380033021,30,14.25 (13.89–14.60),0.13067835619052248,0.021300034108001065,0.12272479274143805,0.13863191963960692,30,0.131 (0.123–0.139),0.24130927553707668,0.03675207835817536,0.22758582393951945,0.25503272713463393,30,0.241 (0.228–0.255),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
swinpix2pix_3d_t2_flair,SwinPix2Pix,Full-3D,T2+FLAIR,0.7829462541880574,0.02776567115632214,0.769951520082981,0.7959409882931339,20,0.783 (0.770–0.796),14.063561303448262,0.9468246313482456,13.620433735624063,14.50668887127246,20,14.06 (13.62–14.51),0.13113391995429993,0.023015536691247538,0.12036231721131008,0.1419055226972898,20,0.131 (0.120–0.142),0.2538573075027577,0.027947865716175403,0.24077730371889852,0.26693731128661685,20,0.254 (0.241–0.267),0.7612125517519213,0.039026282836424286,0.7429476891554566,0.7794774143483859,20,0.761 (0.743–0.779),14.39663602782023,0.9361608815020943,13.958499248550488,14.834772807089973,20,14.40 (13.96–14.83),0.1404413219541312,0.01679109525490461,0.13258284747526686,0.14829979643299554,20,0.140 (0.133–0.148),0.2619555070439974,0.03533940257544473,0.24541615752441642,0.27849485656357836,20,0.262 (0.245–0.278)
cyclegan_25d_t2,CycleGAN,2.5D,T2 only,0.8029384359498054,0.04362984938493443,0.7866467824436393,0.8192300894559715,30,0.803 (0.787–0.819),14.805376014757229,0.996884569960105,14.433133198694666,15.177618830819792,30,14.81 (14.43–15.18),0.1215289816260338,0.021514899422851227,0.11349518614980786,0.12956277710225975,30,0.122 (0.113–0.130),0.272188486625674,0.03271426789149941,0.2599727782354397,0.28440419501590836,30,0.272 (0.260–0.284),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cyclegan_25d_t2_flair,CycleGAN,2.5D,T2+FLAIR,0.7966508029576873,0.03030387465192203,0.7824681530502446,0.81083345286513,20,0.797 (0.782–0.811),14.554076886447922,1.0674473349363556,14.054496155603168,15.053657617292675,20,14.55 (14.05–15.05),0.12431736215949049,0.023731835450834723,0.11321052127771311,0.13542420304126787,20,0.124 (0.113–0.135),0.2766394755696436,0.025155587572029306,0.2648662981839762,0.28841265295531093,20,0.277 (0.265–0.288),0.7762590518754743,0.04389737175952693,0.7557144494880452,0.7968036542629033,20,0.776 (0.756–0.797),14.979917030585938,1.0178968745513213,14.503526629046121,15.456307432125755,20,14.98 (14.50–15.46),0.13485097847878924,0.019718728751811413,0.12562232934665502,0.14407962761092347,20,0.135 (0.126–0.144),0.28261135736730497,0.0357051772318569,0.2659008200390198,0.2993218946955901,20,0.283 (0.266–0.299)
cyclegan_2d_t2,CycleGAN,2D,T2 only,0.775963699132196,0.051960920634747075,0.7565611724955809,0.7953662257688111,30,0.776 (0.757–0.795),13.227955858169652,1.8609340556813232,12.533071661676107,13.922840054663197,30,13.23 (12.53–13.92),0.16330570926268898,0.04650386606015112,0.14594088029285182,0.18067053823252613,30,0.163 (0.146–0.181),0.2665334244945947,0.03921341434547947,0.2518908949347546,0.28117595405443485,30,0.267 (0.252–0.281),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cyclegan_2d_t2_flair,CycleGAN,2D,T2+FLAIR,0.7968089964027929,0.02971996465924989,0.7828996247839733,0.8107183680216125,20,0.797 (0.783–0.811),14.513561711793647,1.0564652911927932,14.019120735632816,15.008002687954479,20,14.51 (14.02–15.01),0.12473553009331229,0.023474228073590203,0.11374925317528539,0.13572180701133918,20,0.125 (0.114–0.136),0.26881265564205803,0.024999118861168998,0.2571127078672273,0.2805126034168888,20,0.269 (0.257–0.281),0.7765430025326063,0.04429022723599521,0.7558145381225492,0.7972714669426635,20,0.777 (0.756–0.797),14.98961894414182,1.0756182908782321,14.486214088202047,15.493023800081595,20,14.99 (14.49–15.49),0.13549066781997685,0.021193733127835325,0.12557169539033103,0.14540964024962266,20,0.135 (0.126–0.145),0.2726532162179859,0.03845888947126744,0.25465390189052173,0.29065253054545004,20,0.273 (0.255–0.291)
