method,family,backbone,architecture,target,channel,n,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,ssim_gauss_mean,ssim_gauss_sd,ssim_gauss_ci95,ssim_gauss_median,ssim_gauss_min,ssim_gauss_max
pix2pix-2.5D-T2,pix2pix,GAN,2.5D,t2,t2,30,0.8011731500799975,0.0473905590132723,0.016958493747108,0.8053015051482564,0.6933464496440477,0.9176607412604092,15.09675574203615,1.0011828950896065,0.3582686978082183,15.153601718447256,13.001494652108272,16.71325801522054,0.1163852920134862,0.0207473159153804,0.007424331650566,0.1107972711324691,0.0897679179906845,0.1653691679239273,0.2558951393893073,0.0426391152273225,0.0152582114248168,0.2544281336548304,0.1683553212218814,0.364649507929297,0.8047337724335047,0.0462422250531426,0.0165475677169466,0.8081677017193943,0.7017392108811175,0.9179709720347916
CUT-2D-T2,CUT,GAN,2D,t2,t2,30,0.7996674218065227,0.046776629324897,0.0167388018295984,0.8023719038995807,0.6998081265094379,0.9177530796500304,14.893525367935768,1.025801341048148,0.3670782955539322,15.034285172894467,12.826168668917642,16.396653440964293,0.119673832009236,0.0211310828123245,0.0075616608709356,0.1138142123818397,0.0929257497191429,0.1785653531551361,0.2572733312561249,0.0386108812542237,0.0138167264103532,0.2567332338365268,0.1696642311082946,0.3502579454113455,0.8034771239432806,0.0456766521279984,0.0163451800449231,0.8057702172667844,0.7034698174492616,0.918237638947592
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,30,0.7994353031397041,0.0492314595178645,0.0176172515323333,0.8025241203949104,0.6822531575144538,0.9189515413612436,15.005824941724184,0.9943129927231288,0.3558103348188194,15.064358415234654,12.818026381475898,16.67399316835582,0.1176636685927709,0.0203364232404116,0.0072772955951938,0.1122122444212436,0.0918933451175689,0.1652017831802368,0.2490309214091968,0.0424133289376917,0.0151774148387327,0.2470783246092299,0.1581671332319577,0.3548325159970452,0.8032250419002274,0.0481216998631986,0.0172201291401038,0.8068534505392697,0.6906988949114682,0.9196431336911044
CUT-2.5D-T2,CUT,GAN,2.5D,t2,t2,30,0.7972684282940112,0.0474181694910726,0.0169683740296976,0.8003750804898662,0.6942391895206311,0.9175176149604812,14.925170200750406,0.9759330938465806,0.3492331724755112,15.069985263208109,12.846394807256477,16.242320086473118,0.1196637208263079,0.0209470152459195,0.0074957931382285,0.112299907952547,0.0939318984746933,0.1741288006305694,0.2774927853503922,0.0398121851723169,0.0142466074965344,0.2731475855414726,0.195410434073872,0.371834867140826,0.8007132364389189,0.0460596030451287,0.0164822172706664,0.8032104414055747,0.699879350327646,0.9171576559579554
CycleGAN-2D-T2+FLAIR,CycleGAN,GAN,2D,t2_flair,t2,20,0.7968089964027928,0.0297199646592499,0.0130253488083269,0.800976964699769,0.7396786058578916,0.8453642379769545,14.513561711793631,1.0564652911927916,0.4630163285673336,14.976317693777798,12.401765499955498,15.860098351613354,0.1247355300933122,0.0234742280735902,0.0102880340596088,0.1210005991160869,0.0965888053178787,0.1804845929145813,0.2688322203227171,0.0249978772292021,0.0109558027444272,0.2684830652097787,0.2278813178558926,0.3223106992595336,0.8003342146968965,0.0290091389509669,0.0127138157059674,0.802394457406151,0.7406487979736508,0.8466857293761587
CycleGAN-2.5D-T2+FLAIR,CycleGAN,GAN,2.5D,t2_flair,t2,20,0.7966508029576872,0.0303038746519221,0.0132812586458527,0.8016034229144384,0.7372812207962556,0.8435586245331652,14.55407688644792,1.0674473349363478,0.4678294214504573,15.001001706935464,12.492768280856716,16.021359668186847,0.1243173621594905,0.0237318354508347,0.0104009354705855,0.1206991598010063,0.0934246927499771,0.1746871024370193,0.276661632563664,0.025154210492909,0.0110243188181667,0.2782699037746901,0.2370487509274875,0.3312874515266979,0.7999474922929869,0.0294708109423894,0.0129161523773685,0.8033461252200337,0.7382362250290061,0.8442119626626643
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,20,0.7923726724422291,0.0360547942422109,0.0158017102847089,0.79845632921471,0.7127698413239822,0.8481989570672467,14.94592368071055,1.035471169942174,0.4538152492474598,15.197047095067507,12.865239483832717,16.302686424174148,0.117746002972126,0.0217898637731866,0.0095498288569918,0.1116116046905517,0.0933044105768203,0.1644114851951599,0.2543778889150348,0.0363389128379239,0.0159262307494714,0.2493403243459289,0.1961889479022759,0.3437963680309407,0.7961335398359874,0.035411084031572,0.0155195918461042,0.801169698289689,0.7144172532953116,0.8496864252761048
pix2pix-2.5D-T2+FLAIR,pix2pix,GAN,2.5D,t2_flair,t2,20,0.7917371225412031,0.0367986792524045,0.0161277322649551,0.7986017960123897,0.6997050838197715,0.8422433900752527,15.010034289065718,1.1682562559005136,0.5120108790532559,15.326002980004674,12.786928298049029,16.520693800539842,0.1181706305593252,0.024376918361962,0.0106836555217047,0.1129201240837574,0.0947501361370086,0.1799692064523697,0.2677405597429636,0.0378279732092589,0.0165788402312009,0.2613068725126979,0.2155073712078424,0.3661264654468087,0.7952251359893484,0.0360386541670915,0.0157946365849036,0.8013902744365384,0.7024212070876533,0.8444620847947597
CycleGAN-3D-T2,CycleGAN,GAN,3D,t2,t2,30,0.7900887933292855,0.0420293123499652,0.0150399962676642,0.7890265746634442,0.7225515108452257,0.9038986161533756,14.25258651787589,0.9652361590633468,0.3454053235239112,14.405884993812975,12.169658787293336,15.951429447493329,0.1314885889490445,0.023903683570218,0.008553823309931,0.1288302764296531,0.0985660329461097,0.1880605220794677,0.2080255194872612,0.0317443377947734,0.0113595653903973,0.2054579953002717,0.1273248150116867,0.2641322814366397,0.7907162139705138,0.0411825583368771,0.0147369892355616,0.7887089022455248,0.7250182697085311,0.9007558839143268
CUT-2.5D-T2+FLAIR,CUT,GAN,2.5D,t2_flair,t2,20,0.7896825015284364,0.0355243938700048,0.0155692520723502,0.7972163999737742,0.7099634837663641,0.8445707095071734,14.796747533640184,0.9396294865497882,0.4118107794953559,14.989956354570154,12.742268900400903,16.046076978711792,0.1203895397484302,0.0218708065360737,0.0095853035869318,0.1130299121141433,0.094512827694416,0.1684633493423462,0.2763746071290965,0.0345362666783985,0.0151361862364641,0.2736785774285837,0.2173746038678583,0.3554917784298168,0.7930084467157955,0.0348349861334005,0.015267105809951,0.7993830419132868,0.7116971470519228,0.84619834841805
